doc_id,permit_num,already_downloaded,name,votes,agents,reasons
5923761,22-31107-RNVS,False,300 Gravier - RCC Stamped.pdf,2,a;b,a: RCC stamped package is likely the approved plan set for the interior renovation. || b: RCC-stamped package is likely the approved plan set for the interior renovation.
6301295,23-21190-RNVS,False,Pages from 23_0803 - Issue for Permit - Volume 1.pdf,2,a;b,a: Issue for Permit Volume 1 is a strong architectural plan-set candidate. || b: Issue-for-permit volume 1 likely contains architectural/floor-plan sheets.
6301296,23-21190-RNVS,False,Pages from 23_0803 - Issue for Permit - Volume 2.pdf,2,a;b,a: Issue for Permit Volume 2 is part of the split plan set. || b: Issue-for-permit volume 2 is the companion plan volume for the renovation.
6547319,23-34011-RNVS,False,2601 Dauphine_CD Vol 1.pdf,2,a;b,a: CD Volume 1 is a strong architectural plan-set candidate. || b: Construction document volume 1 likely contains architectural/floor-plan sheets.
6547320,23-34011-RNVS,False,2601 Dauphine_CD Vol 2.pdf,2,a;b,a: CD Volume 2 is part of the split plan set. || b: Construction document volume 2 is the companion plan volume for the renovation/addition.
6808672,24-08753-RNVN,False,400 Lafy Permit Set_Vol 1.pdf,2,a;b,a: Permit Set Volume 1 is a strong plan-set candidate for the office fit-out. || b: Permit set volume 1 for office tenant fit-out likely contains architectural/floor-plan sheets.
6808673,24-08753-RNVN,False,400 Lafy Permit Set_Vol 2.pdf,2,a;b,a: Permit Set Volume 2 is part of the split plan set for the office fit-out. || b: Permit set volume 2 is the companion plan volume for the tenant fit-out.
7443726,24-08753-RNVN,False,HDLC &amp; PRC Approved__400 Lafayette Street Drawings__Combined SP RCC.pdf,2,a;b,a: Approved combined RCC drawings are likely the final stamped plan package. || b: Stamped approved combined drawings may contain the final approved floor-plan sheets.
7902341,25-02492-RNVN,False,25.02.11_Crunch - New Orleans LA (Westbank Plaza)_Delta 1 Permit Plans (1 of 2) - RCC.pdf,2,a;b,a: Delta 1 RCC permit plans part 1 are a strong current architectural/interior plan-set candidate. || b: Delta 1 RCC permit plans part 1 for the fitness tenant improvement.
7902344,25-02492-RNVN,False,25.02.11_Crunch - New Orleans LA (Westbank Plaza)_Delta 1 Permit Plans (2 of 2) - RCC.pdf,2,a;b,a: Delta 1 RCC permit plans part 2 are part of the current split plan set. || b: Delta 1 RCC permit plans part 2 for the fitness tenant improvement.
8179329,25-03039-RNVN,False,2511 Jena - Permit Set 1.23.25 (RCC).pdf,2,a;b,a: RCC permit set is the primary architectural plan-set candidate. || b: RCC permit set for restaurant renovation likely contains floor plans and architectural sheets.
8179330,25-03039-RNVN,False,2511 Jena - SHEET A3_REVISED 5.5.25 (RCC).pdf,2,a;b,a: Revised architectural sheet A3 likely contains updated restaurant plan details. || b: Revised RCC architectural sheet A3 may update the plan set.
8200233,25-16244-RNVN,False,Z_2700 General De Gaulle Dr PERMIT SET 05-27-24 (RCC).pdf,2,a;b,a: RCC permit set is a strong architectural/floor-plan candidate for the suite subdivision. || b: RCC permit set likely contains the suite layout and architectural floor plans.
8348101,25-21013-RNVN,False,250710-04 Architectural.pdf,2,a;b,a: Architectural set is a strong floor-plan candidate for the hotel interior renovation. || b: Architectural package likely contains floor plans for the multi-level renovation.
8348102,25-21013-RNVN,False,250710-05 Interior Design.pdf,2,a;b,"a: Interior Design set is a strong finish-plan and finish-schedule candidate. || b: Interior Design package likely contains finish plans, schedules, and interior layouts."
