doc_id,permit_num,code,tier,score,name,description,reasons
4535634,20-02145-RNVS,RNVS,review,78,5909 St Claude - RCC Stamped MINUS MEP SET.pdf,"Interior gut and renovation of existing building to accommodate senior housing apartments and museum exhibition space, a new addition to include elevator and egress stair, and site improvements such as landscaping and parking lot as per plans.",plan signal but mixed/noisy filename | relevant permit scope | renovation permit
4604011,20-39496-RNVS,RNVS,review,78,5705 Magazine St. Permit Set - Structural.pdf,"Annex Structure at 5705 with roof replacement, minor wall height extension, and minor building extension. New front Façade, White-box, semi-finished interiors in anticipation of receiving future tenant build out Extend permit (3) 180 day periods to 1-12-23.",plan signal but mixed/noisy filename | relevant permit scope | renovation permit
5711750,21-31040-RNVS,RNVS,review,78,22_0829_RAMPART ST_PLUMBING RISER and FLOOR PLAN.pdf,"The renovation to a two story building at 1434 N. Rampart Street, New Orleans . The previous use of the building was believe to be a automotive upholstery shop, and then later becoming a medical center. The building has been vacant for 20 years and the proposed use would be a Art studio and Gallery, with an office on the ground floor. The building is located in the Historic Marigny/Treme/Bywater Commercial Districts/HMC-2, which permits the use of an Art Studio, Gallery, and Office under section 10.2.A in the New Orleans Comprehensive Zoning Ordinance.",plan signal but mixed/noisy filename | relevant permit scope | renovation permit
5306186,21-35811-RNVS,RNVS,review,78,The Bonsai Hotel Permit Set 12 23 21-STRUCTURAL-FS.pdf,"A ground floor tenant build-out of a 42 guestroom hotel and ancillary standard restaurant including all mechanical, electrical, plumbing, and fire-suppression as required for the intended uses. MEP ROUGH IN AND FRAMING RELEASE ISSUED ON 6-6-22",plan signal but mixed/noisy filename | relevant permit scope | renovation permit
5380571,22-05581-RNVS,RNVS,review,78,934 Canal St Permit Set - Plumbing (5 shts).pdf,HDLC REVIEW UNDER SEPARATE APPLICATION. REF. CODE: SVGBTP RENOVATION OF AN EXISTING FOUR STORY BUILDING FROM AN UNOCCUPIED LEASE SPACE TO A GREY BOX SPACE LEASE SPACE ON FIRST FLOOR & R-1 HOTEL ON PORTION OF FIRST FLOOR AND ALL UPPER FLOORS.,plan signal but mixed/noisy filename | relevant permit scope | renovation permit
5645579,22-22320-RNVS,RNVS,review,78,1620 MLK MEP Permit Set 07-13-22.pdf,Conversion of a historic three story office into a 24 bedroom boutique hotel. All work to be done as per plans. **FINAL INSPECTION** NEED FEMA ELEVATION CERTIFICATE BFE +5.2 NAVD **Openings on the Property Line Require Fire Protection Approved By the CBO*,plan signal but mixed/noisy filename | relevant permit scope | renovation permit
6087644,23-10186-RNVS,RNVS,review,78,604 Baronne Mech Permit Set 04-14-23.pdf,"Renovation of a historic structure into a mixed use, business and apartment building.",plan signal but mixed/noisy filename | relevant permit scope | renovation permit
6444781,23-28966-RNVS,RNVS,review,78,415 LAFAYETTE ST HVAC UNIT PERMIT SET.pdf,INSTALLATION OF NEW HVAC UNIT ON THE ROOF OF HOTEL LOCATED AT 415 LAFAYETTE STREET. THE WORK WILL INCLUDE THE INSTALLATION OF THE NEW HVAC UNIT AS WELL AS NEW DUCT WORK CONNECTING THE UNIT INTO THE EXISTING BUILDING AT FLOORS 1 THROUGH 4.,plan signal but mixed/noisy filename | relevant permit scope | renovation permit
7465572,24-07959-RNVS,RNVS,review,78,439 Royal - VCC and RCC Stamped - structural repair NO RAIL.pdf,"Stabilize and repair structural concerns around corner door per attached engineers recommendations. Address VCC violations: remove unpermitted vent from Royal side wall patch stucco and paint to match, replace light fixtures under balcony, replace downspout to match repair/replace balcony decking as needed to match. Existing rail extension to be removed, new rail extension and new tension cable to be added to historic railing. All work to be done as per plans.",plan signal but mixed/noisy filename | relevant permit scope | renovation permit
7253399,24-14124-RNVN,RNVN,review,78,N23-021 Trader Joes NO MEP Permit Set.pdf,Tenant Build Out for a new grocery store (INTERIOR BUILDOUT ONLY UNDER THIS PERMIT) (BUILDING WILL BE CONSTRUCTED UNDER 24-01393-NEWC) TEMPORARY CERTIFICATE OF OCCUPANCY (until parking area zoning deficiencies are satisfied) FINAL CERTIFICATE OF OCCUPANCY ISSUED 9-14-25,plan signal but mixed/noisy filename | relevant permit scope | renovation permit
